model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.module.module		module	SALE_DELIVERY_BLOCK_PROC_GROUP_BY_LINE|SALE_STOCK_PICKING_BLOCKING_PROC_GROUP_BY_LINE	sale_delivery_block_proc_group_by_line	sale_delivery_block_proc_group_by_line	sale_delivery_block_proc_group_by_line	sale_delivery_block_proc_group_by_line	sale_stock_picking_blocking_proc_group_by_line	sale_stock_picking_blocking_proc_group_by_line	sale_stock_picking_blocking_proc_group_by_line	sale_stock_picking_blocking_proc_group_by_line	sale_stock_picking_blocking_proc_group_by_line
ir.module.module		module	SALE_DELIVERY_BLOCK|SALE_STOCK_PICKING_BLOCKING	sale_delivery_block	sale_delivery_block	sale_delivery_block	sale_delivery_block	sale_stock_picking_blocking	sale_stock_picking_blocking	sale_stock_picking_blocking	sale_stock_picking_blocking	sale_stock_picking_blocking
ir.module.module		module	SALE_EXCEPTIONS|SALE_EXCEPTION	sale_exceptions	sale_exceptions	sale_exceptions	sale_exception	sale_exception	sale_exception	sale_exception	sale_exception	sale_exception
ir.module.module		module	SALE_ORDER_DATES|SALE	sale_order_dates	sale_order_dates	sale_order_dates	sale_order_dates	sale_order_dates	sale_order_dates	sale	sale	sale
ir.module.module		module	SALE_PAYMENT|SALE	sale_payment	sale_payment	sale_payment	sale_payment	sale_payment	sale_payment	sale	sale	sale
ir.module.module		module	SALE_PRODUCT_VARIANTS|SALE_VARIANT_CONFIGURATOR	sale_product_variants	sale_product_variants	sale_product_variants	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator
ir.module.module		module	SALE_PROFORMA_REPORT|SALE	sale_proforma_report	sale_proforma_report	sale_proforma_report	sale_proforma_report	sale_proforma_report	sale	sale	sale	sale
ir.module.module		module	SALE_REPORT_DELIVERED|SALE_REPORT_DELIVERED_SUBTOTAL	sale_report_delivered	sale_report_delivered	sale_report_delivered	sale_report_delivered	sale_report_delivered	sale_report_delivered_subtotal	sale_report_delivered_subtotal	sale_report_delivered_subtotal	sale_report_delivered_subtotal
ir.module.module		module	SALE_REPORTING_WEIGHT|PRODUCT_WEIGHT_THROUGH_UOM	sale_reporting_weight	sale_reporting_weight	sale_reporting_weight	sale_reporting_weight	sale_reporting_weight	product_weight_through_uom	product_weight_through_uom	product_weight_through_uom	product_weight_through_uom
ir.module.module		module	SALE_SERVICE_RATING|SALE_TIMESHEET	sale_service_rating	sale_service_rating	sale_service_rating	sale_service_rating	sale_service_rating	sale_service_rating	sale_timesheet	sale_timesheet	sale_timesheet
ir.module.module		module	SALE_STOCK_PRODUCT_VARIANTS|SALE_STOCK_VARIANT_CONFIGURATOR	sale_stock_product_variants	sale_stock_product_variants	sale_stock_product_variants	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator
ir.module.module		module	SALE_STOCK_VARIANT_CONFIGURATOR|SALE_VARIANT_CONFIGURATOR	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_stock_variant_configurator	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator	sale_variant_configurator
ir.module.module		module	STOCK_DISABLE_FORCE_AVAILABILITY_BUTTON|STOCK	stock_disable_force_availability_button	stock_disable_force_availability_button	stock_disable_force_availability_button	stock_disable_force_availability_button	stock_disable_force_availability_button	stock	stock	stock	stock
ir.module.module		module	STOCK_PACK_OPERATION_QUICK_LOT|STOCK_MOVE_QUICK_LOT	stock_pack_operation_quick_lot	stock_pack_operation_quick_lot	stock_pack_operation_quick_lot	stock_pack_operation_quick_lot	stock_pack_operation_quick_lot	stock_move_quick_lot	stock_move_quick_lot	stock_move_quick_lot	stock_move_quick_lot
ir.module.module		module	STOCK_PICKING_REORDER_LINES|STOCK_PICKING_LINE_SEQUENCE	stock_picking_reorder_lines	stock_picking_reorder_lines	stock_picking_reorder_lines	stock_picking_line_sequence	stock_picking_line_sequence	stock_picking_line_sequence	stock_picking_line_sequence	stock_picking_line_sequence	stock_picking_line_sequence
ir.module.module		module	STOCK_PICKING_TRANSFER_LOT_AUTOASSIGN|STOCK_PACK_OPERATION_AUTO_FILL	stock_picking_transfer_lot_autoassign	stock_picking_transfer_lot_autoassign	stock_picking_transfer_lot_autoassign	stock_picking_transfer_lot_autoassign	stock_picking_transfer_lot_autoassign	stock_pack_operation_auto_fill	stock_pack_operation_auto_fill	stock_pack_operation_auto_fill	stock_pack_operation_auto_fill
ir.module.module		module	STOCK_PICKING_WAVE|STOCK_PICKING_BATCH	stock_picking_wave	stock_picking_wave	stock_picking_wave	stock_picking_wave	stock_picking_wave	stock_picking_batch	stock_picking_batch	stock_picking_batch	stock_picking_batch
ir.module.module		module	STOCK_VALUED_PICKING_REPORT|STOCK_PICKING_REPORT_VALUED	stock_valued_picking_report	stock_valued_picking_report	stock_valued_picking_report	stock_valued_picking_report	stock_valued_picking_report	stock_picking_report_valued	stock_picking_report_valued	stock_picking_report_valued	stock_picking_report_valued
ir.module.module		module	WEB_ADVANCED_SEARCH_X2X|WEB_ADVANCED_SEARCH	web_advanced_search_x2x	web_advanced_search_x2x	web_advanced_search_x2x	web_advanced_search_x2x	web_advanced_search_x2x	web_advanced_search	web_advanced_search	web_advanced_search	web_advanced_search
ir.module.module		module	WEB_CALENDAR|WEB	web_calendar	web_calendar	web_calendar	web_calendar	web_calendar	web	web	web	web
ir.module.module		module	WEB_KANBAN|WEB	web_kanban	web_kanban	web_kanban	web_kanban	web_kanban	web	web	web	web
ir.module.module		module	WEB_NO_BUBBLE|WEB	web_no_bubble	web_no_bubble	web_no_bubble	web_no_bubble	web_no_bubble	web_no_bubble	web	web	web
ir.module.module		module	WEB_PLANNER|WEB	web_planner	web_planner	web_planner	web_planner	web_planner	web_planner	web	web	web
ir.module.module		module	WEB_POPUP_LARGE|WEB_DIALOG_SIZE	web_popup_large	web_popup_large	web_popup_large	web_popup_large	web_dialog_size	web_dialog_size	web_dialog_size	web_dialog_size	web_dialog_size
ir.module.module		module	WEB_SHEET_FULL_WIDTH|WEB_RESPONSIVE	web_sheet_full_width	web_sheet_full_width	web_sheet_full_width	web_sheet_full_width	web_sheet_full_width	web_sheet_full_width	web_responsive	web_responsive	web_responsive
ir.module.module		module	WEB_SHORTCUTS|WEB_SHORTCUT	web_shortcuts	web_shortcuts	web_shortcuts	web_shortcut	web_shortcut	web_shortcut	web_shortcut	web_shortcut	web_shortcut
ir.module.module		module	WEB_WIDGET_DOMAIN_V11|WEB	web_widget_domain_v11	web_widget_domain_v11	web_widget_domain_v11	web_widget_domain_v11	web_widget_domain_v11	web	web	web	web
ir.module.module		module	WEBSITE_DISABLE_ODOO|WEBSITE_ODOO_DEBRANDING	website_disable_odoo	website_disable_odoo	website_disable_odoo	website_odoo_debranding	website_odoo_debranding	website_odoo_debranding	website_odoo_debranding	website_odoo_debranding	website_odoo_debranding
ir.module.module		module	WEBSITE_FORM_METADATA|WEBSITE_FORM	website_form_metadata	website_form_metadata	website_form_metadata	website_form_metadata	website_form_metadata	website_form_metadata	website_form	website_form	website_form
ir.module.module		module	WEBSITE_ISSUE|WEBSITE_FORM_PROJECT	website_issue	website_issue	website_issue	website_issue	website_issue	website_form_project	website_form_project	website_form_project	website_form_project
ir.module.module		module	WEBSITE_MAIL_GROUP|WEBSITE_MAIL_CHANNEL	website_mail_group	website_mail_group	website_mail_group	website_mail_channel	website_mail_channel	website_mail_channel	website_mail_channel	website_mail_channel	website_mail_channel
ir.module.module		module	WEBSITE_PORTAL_SALE|SALE_PAYMENT	website_portal_sale	website_portal_sale	website_portal_sale	website_portal_sale	website_portal_sale	sale_payment	sale_payment	sale_payment	sale_payment
ir.module.module		module	WEBSITE_PORTAL|WEBSITE	website_portal	website_portal	website_portal	website_portal	website_portal	website	website	website	website
ir.module.module		module	WEBSITE_PROJECT_ISSUE|PROJECT	website_project_issue	website_project_issue	website_project_issue	website_project_issue	website_project_issue	project	project	project	project
ir.module.module		module	WEBSITE_PROJECT_TIMESHEET|HR_TIMESHEET	website_project_timesheet	website_project_timesheet	website_project_timesheet	website_project_timesheet	website_project_timesheet	hr_timesheet	hr_timesheet	hr_timesheet	hr_timesheet
ir.module.module		module	WEBSITE_PROJECT|PROJECT	website_project	website_project	website_project	website_project	website_project	project	project	project	project
ir.module.module		module	WEBSITE_QUOTE|SALE_QUOTATION_BUILDER	website_quote	website_quote	website_quote	website_quote	website_quote	website_quote	sale_quotation_builder	sale_quotation_builder	sale_quotation_builder
ir.module.module		module	WEBSITE_RATING_PROJECT_ISSUE|WEBSITE_RATING_PROJECT	website_rating_project_issue	website_rating_project_issue	website_rating_project_issue	website_rating_project_issue	website_rating_project_issue	website_rating_project	website_rating_project	website_rating_project	website_rating_project
ir.module.module		module	WEBSITE_RATING_PROJECT|PROJECT	website_rating_project	website_rating_project	website_rating_project	website_rating_project	website_rating_project	website_rating_project	project	project	project
ir.module.module		module	WEBSITE_SALE_OPTIONS|WEBSITE_SALE	website_sale_options	website_sale_options	website_sale_options	website_sale_options	website_sale_options	website_sale_options	website_sale	website_sale	website_sale
ir.module.module		module	WEBSITE_SALE_QTY|WEBSITE_SALE_PRICE_TIER	website_sale_qty	website_sale_qty	website_sale_qty	website_sale_qty	website_sale_price_tier	website_sale_price_tier	website_sale_price_tier	website_sale_price_tier	website_sale_price_tier
ir.module.module		module	WEBSITE_SALE_STOCK_OPTIONS|WEBSITE_SALE_STOCK	website_sale_stock_options	website_sale_stock_options	website_sale_stock_options	website_sale_stock_options	website_sale_stock_options	website_sale_stock_options	website_sale_stock	website_sale_stock	website_sale_stock
ir.module.module		module	WEBSITE_SEO_REDIRECTION|WEBSITE	website_seo_redirection	website_seo_redirection	website_seo_redirection	website_seo_redirection	website_seo_redirection	website	website	website	website
product_product		field	NAME_TEMPLATE|NAME	name_template	name_template	name	name	name	name	name	name	name
purchase.order	state	value	state|approved|purchase	approved	approved	approved	purchase	purchase	purchase	purchase	purchase	purchase
purchase.order	state	value	state|cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel
purchase.order	state	value	state|confirmed|to_approve	confirmed	confirmed	confirmed	to_approve	to_approve	to_approve	to_approve	to_approve	to_approve
purchase.order	state	value	state|done	done	done	done	done	done	done	done	done	done
purchase.order	state	value	state|draft	draft	draft	draft	draft	draft	draft	draft	draft	draft
purchase.order	state	value	state|draft	bid	bid	bid	draft	draft	draft	draft	draft	draft
purchase.order	state	value	state|except_invoice|purchase	except_invoice	except_invoice	except_invoice	purchase	purchase	purchase	purchase	purchase	purchase
purchase.order	state	value	state|except_picking|purchase	except_picking	except_picking	except_picking	purchase	purchase	purchase	purchase	purchase	purchase
purchase.order	state	value	state|sent	sent	sent	sent	sent	sent	sent	sent	sent	sent
purchase.order.line	state	value	state|cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel
purchase.order.line	state	value	state|confirmed|purchase	confirmed	confirmed	confirmed	purchase	purchase	purchase	purchase	purchase	purchase
purchase.order.line	state	value	state|done|purchase	done	done	done	purchase	purchase	purchase	purchase	purchase	purchase
purchase.order.line	state	value	state|draft	draft	draft	draft	draft	draft	draft	draft	draft	draft
res.city		field	PROVINCE_ID	province_id	province_id							
res.groups	ADMINISTRATION_SETTINGS	name		base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager	base.group_erp_manager
res.groups	FINANCIAL_MANAGER	name		Manager	Financial Manager	Financial Manager	Adviser	Adviser	Adviser	Adviser	Adviser	Adviser
res.groups	KNOWLEDGE	name		Knowledge Management	Knowledge	Knowledge	Knowledge	Knowledge	Knowledge	Knowledge	Knowledge	Knowledge
res.groups	KNOWLEDGE_USER	name		User	User	User	Knowledge user	Knowledge user	Knowledge user	Knowledge user	Knowledge user	Knowledge user
res.groups	MANAGE_INVENTORY_VALUATION	name		Manage Inventory valuation	Manage Inventory valuation	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods	Manage Inventory Valuation and Costing Methods
res.groups	MANAGE_LOGISTIC_SERIAL_NUMBERS	name		Manage Logistic Serial Numbers	Manage Logistic Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers
res.groups	MANAGE_MULTIPLE_LOCATION	name		Manage Multiple Locations and Warehouses	Manage Multiple Locations and Warehouses	Manage Multiple Locations and Warehouses	Manage Multiple Locations and Warehouses	Manage multiple stock_locations	Manage multiple stock_locations	Manage multiple stock_locations	Manage multiple stock_locations	Manage multiple stock_locations
res.groups	MANAGE_SERIAL_NUMBERS	name		Manage Serial Numbers	Manage Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers	Manage Lots / Serial Numbers
res.groups	MANAGER	name		Manager	Manager	Manager	Manager	Manager	Manager	Manager	Manager	Manager
res.groups	POINT_OF_SALE	name		Point of Sales	Point of Sale	Point of Sale	Point of Sale	Point of Sale	Point of Sale	Point of Sale	Point of Sale	Point of Sale
res.groups	PROJECT	name		Project Management	Project	Project	Project	Project	Project	Project	Project	Project
res.groups	PURCHASE_PRICELISTS	name		Purchase Pricelists	Purchase Pricelists	Purchase Pricelists	Pricelists On Product	Pricelists On Product	Pricelists On Product	Pricelists On Product	Pricelists On Product	Pricelists On Product
res.groups	PURCHASES	name		Purchase Management	Purchases	Purchases	Purchases	Purchases	Purchases	Purchases	Purchases	Purchases
res.groups	SALES	name		Sales Management	Sales	Sales	Sales	Sales	Sales	Sales	Sales	Sales
res.groups	USER_ALL	name		User - All Leads	See all Leads	See all Leads	See all Leads	User: All Documents	User: All Documents	User: All Documents	User: All Documents	User: All Documents
res.groups	USER_OWN	name		User	User	See Own Leads	See Own Leads	User: Own Documents Only	User: Own Documents Only	User: Own Documents Only	User: Own Documents Only	User: Own Documents Only
res.groups	WAREHOUSE	name		Warehouse Management	Warehouse	Warehouse	Warehouse	Warehouse	Warehouse	Warehouse	Warehouse	Warehouse
res.partner		field	COUNTRY_ID		country_id	country_id	country_id	country_id	country_id	country_id	country_id	country_id
res.partner		field	FAX		fax	fax	fax	fax				
res.partner		field	IMAGE		image	image	image	image	image	image	image	image
res.partner		field	IS_COMPANY		is_company	is_company	is_company	is_company	is_company	is_company	is_company	is_company
res.partner		field	PROPERTY_ACCOUNT_PAYABLE|PROPERTY_ACCOUNT_PAYABLE_ID	property_account_payable	property_account_payable	property_account_payable	property_account_payable_id	property_account_payable_id	property_account_payable_id	property_account_payable_id	property_account_payable_id	property_account_payable_id
res.partner		field	PROPERTY_ACCOUNT_RECEIVABLE|PROPERTY_ACCOUNT_RECEIVABLE_ID	property_account_receivable	property_account_receivable	property_account_receivable	property_account_receivable_id	property_account_receivable_id	property_account_receivable_id	property_account_receivable_id	property_account_receivable_id	property_account_receivable_id
res.partner		field	STATE_ID		state_id	state_id	state_id	state_id	state_id	state_id	state_id	state_id
res.partner		field	STREET		street	street	street	street	street	street	street	street
res.partner		field	STREET2		street2	street2	street2	street2	street2	street2	street2	street2
res.partner		field	TYPE		type	type	type	type	type	type	type	type
res.partner		field	ZIP		zip	zip	zip	zip	zip	zip	zip	zip
res.users		field	CONTEXT_LANG|LANG	context_lang	lang	lang	lang	lang	lang	lang	lang	lang
res.users		field	CONTEXT_TZ|TZ	context_tz	tz	tz	tz	tz	tz	tz	tz	tz
res.users		field	COUNTRY_ID		country_id	country_id	country_id	country_id	country_id	country_id	country_id	country_id
res.users		field	PARTNER_ID		partner_id	partner_id	partner_id	partner_id	partner_id	partner_id	partner_id	partner_id
res.users		field	USER_EMAIL|EMAIL	user_email	email	email	email	email	email	email	email	email
sale.order		action	ORDER_CONFIRM|ACTION_CONFIRM	order_confirm	order_confirm	order_confirm	action_confirm	action_confirm	action_confirm	action_confirm	action_confirm	action_confirm
sale.order	state	value	state|cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel
sale.order	state	value	state|done	done	done	done	done	done	done	done	done	done
sale.order	state	value	state|draft	draft	draft	draft	draft	draft	draft	draft	draft	draft
sale.order	state	value	state|invoice_except|sale	invoice_except	invoice_except	invoice_except	sale	sale	sale	sale	sale	sale
sale.order	state	value	state|manual|sale	manual	manual	manual	sale	sale	sale	sale	sale	sale
sale.order	state	value	state|progress|sale	progress	progress	progress	sale	sale	sale	sale	sale	sale
sale.order	state	value	state|sent	sent	sent	sent	sent	sent	sent	sent	sent	sent
sale.order	state	value	state|shipping_except|sale	shipping_except	shipping_except	shipping_except	sale	sale	sale	sale	sale	sale
sale.order	state	value	state|waiting_date|sale	waiting_date	waiting_date	waiting_date	sale	sale	sale	sale	sale	sale
sale.order.line	state	value	state|cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel	cancel
sale.order.line	state	value	state|confirmed|sale	confirmed	confirmed	confirmed	confirmed	sale	sale	sale	sale	sale
sale.order.line	state	value	state|done	done	done	done	done	done	done	done	done	done
sale.order.line	state	value	state|draft	draft	draft	draft	draft	draft	draft	draft	draft	draft
sale.order.line	state	value	state|exception|draft	exception	exception	exception	exception	draft	draft	draft	draft	draft
