model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.model		model	IR.ACTIONS.REPORT.XML|IR.ACTIONS.REPORT	ir.actions.report.xml	ir.actions.report.xml	ir.actions.report.xml	ir.actions.report.xml	ir.actions.report.xml	ir.actions.report	ir.actions.report	ir.actions.report	ir.actions.report
ir.model		model	MRP.REPAIR.FEE|REPAIR.FEE	mrp.repair.fee	mrp.repair.fee	mrp.repair.fee	mrp.repair.fee	mrp.repair.fee	mrp.repair.fee	repair.fee	repair.fee	repair.fee
ir.model		model	MRP.REPAIR.LINE|REPAIR.LINE	mrp.repair.line	mrp.repair.line	mrp.repair.line	mrp.repair.line	mrp.repair.line	mrp.repair.line	repair.line	repair.line	repair.line
ir.model		model	MRP.REPAIR|REPAIR.ORDER	mrp.repair	mrp.repair	mrp.repair	mrp.repair	mrp.repair	mrp.repair	repair.order	repair.order	repair.order
ir.model		model	PROCUREMENT.RULE|STOCK.RULE	procurement.rule	procurement.rule	procurement.rule	procurement.rule	procurement.rule	procurement.rule	stock.rule	stock.rule	stock.rule
ir.model		model	PRODUCT.ATTRIBUTE.LINE|PRODUCT.TEMPLATE.ATTRIBUTE.LINE	product.attribute.line	product.attribute.line	product.attribute.line	product.attribute.line	product.attribute.line	product.attribute.line	product.template.attribute.line	product.template.attribute.line	product.template.attribute.line
ir.model		model	PRODUCT.ATTRIBUTE.PRICE|PRODUCT.TEMPLATE.ATTRIBUTE.VALUE	product.attribute.price	product.attribute.price	product.attribute.price	product.attribute.price	product.attribute.price	product.attribute.price	product.template.attribute.value	product.template.attribute.value	product.template.attribute.value
ir.model		model	PRODUCT.UOM.CATEG|UOM.CATEGORY	product.uom.categ	product.uom.categ	product.uom.categ	product.uom.categ	product.uom.categ	product.uom.categ	uom.category	uom.category	uom.category
ir.model		model	PRODUCT.UOM|UOM.UOM	product.uom	product.uom	product.uom	product.uom	product.uom	product.uom	uom.uom	uom.uom	uom.uom
ir.model		model	SALE.QUOTE.LINE|SALE.ORDER.TEMPLATE.LINE	sale.quote.line	sale.quote.line	sale.quote.line	sale.quote.line	sale.quote.line	sale.quote.line	sale.order.template.line	sale.order.template.line	sale.order.template.line
ir.model		model	SALE.QUOTE.OPTION|SALE.ORDER.TEMPLATE.OPTION	sale.quote.option	sale.quote.option	sale.quote.option	sale.quote.option	sale.quote.option	sale.quote.option	sale.order.template.option	sale.order.template.option	sale.order.template.option
ir.model		model	SALE.QUOTE.TEMPLATE|SALE.ORDER.TEMPLATE	sale.quote.template	sale.quote.template	sale.quote.template	sale.quote.template	sale.quote.template	sale.quote.template	sale.order.template	sale.order.template	sale.order.template
ir.model		model	STOCK.INCOTERMS|ACCOUNT.INCOTERMS	stock.incoterms	stock.incoterms	stock.incoterms	stock.incoterms	stock.incoterms	stock.incoterms	account.incoterms	account.incoterms	account.incoterms
ir.model		model	STOCK.PACK.OPERATION|STOCK.MOVE.LINE	stock.pack.operation	stock.pack.operation	stock.pack.operation	stock.pack.operation	stock.pack.operation	stock.move.line	stock.move.line	stock.move.line	stock.move.line
ir.model		model	STOCK.PICKING.WAVE|STOCK.PICKING.BATCH	stock.picking.wave	stock.picking.wave	stock.picking.wave	stock.picking.wave	stock.picking.wave	stock.picking.batch	stock.picking.batch	stock.picking.batch	stock.picking.batch
ir.module.module		merge	ACCOUNT_ADVANCED_RECONCILE|ACCOUNT_MASS_RECONCILE	account_advanced_reconcile	account_advanced_reconcile	account_advanced_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile
